Time (seconds),time_ms,value,label
57.03,55830,0,quiet
57.14,55937,0,quiet
57.25,56041,0,quiet
57.35,56145,0,quiet
57.45,56249,0,quiet
57.56,56353,0,quiet
57.66,56457,0,quiet
57.79,56585,0,quiet
57.89,56689,0,quiet
58.00,56793,0,quiet
58.10,56897,0,quiet
58.21,57003,0,quiet
58.31,57109,0,quiet
58.42,57213,0,quiet
58.52,57317,0,quiet
58.63,57421,0,quiet
58.73,57525,0,quiet
58.83,57630,0,quiet
58.94,57737,0,quiet
59.05,57841,0,quiet
59.17,57969,0,quiet
59.28,58073,0,quiet
59.39,58181,0,quiet
59.49,58285,0,quiet
59.59,58389,0,quiet
59.70,58493,0,quiet
59.80,58597,0,quiet
59.91,58701,0,quiet
60.01,58806,0,quiet
60.12,58914,0,quiet
60.23,59021,0,quiet
60.33,59125,0,quiet
60.43,59229,0,quiet
60.67,59465,0,quiet
60.77,59569,0,quiet
60.88,59673,0,quiet
60.98,59778,0,quiet
61.09,59886,0,quiet
61.20,59993,29,quiet
61.30,60097,44,quiet
61.41,60201,32,quiet
61.51,60305,0,quiet
61.61,60409,0,quiet
61.72,60513,0,quiet
61.82,60617,0,quiet
61.93,60721,0,quiet
62.05,60845,0,quiet
62.15,60949,0,quiet
62.26,61053,0,quiet
62.36,61157,0,quiet
62.47,61261,0,quiet
62.57,61365,0,quiet
62.67,61469,0,quiet
62.78,61573,0,quiet
62.88,61677,0,quiet
62.99,61781,0,quiet
63.09,61885,7,quiet
63.19,61990,0,quiet
63.31,62105,0,quiet
63.43,62222,0,medium
63.53,62329,0,medium
63.64,62433,0,medium
63.74,62537,0,medium
63.85,62641,0,medium
63.95,62745,0,medium
64.05,62850,0,medium
64.16,62958,0,medium
64.27,63065,0,medium
64.37,63169,0,medium
64.48,63273,55,medium
64.58,63377,59,medium
64.71,63501,69,medium
64.81,63605,0,medium
64.91,63710,0,medium
65.02,63817,31,medium
65.13,63921,0,medium
65.23,64026,23,medium
65.34,64133,51,medium
65.44,64237,0,medium
65.55,64341,0,medium
65.65,64445,33,medium
65.76,64553,35,medium
65.86,64658,0,medium
65.99,64781,0,medium
66.09,64885,0,medium
66.19,64989,0,medium
66.30,65093,0,medium
66.41,65201,0,medium
66.51,65305,0,medium
66.61,65409,0,medium
66.72,65513,0,medium
66.82,65617,0,medium
66.93,65721,0,medium
67.03,65826,0,medium
67.14,65933,0,medium
67.26,66057,0,medium
67.37,66161,0,medium
67.47,66265,0,medium
67.57,66369,0,medium
67.68,66473,0,medium
67.78,66577,0,medium
67.89,66682,0,medium
67.99,66789,0,medium
68.10,66893,0,medium
68.20,66998,0,medium
68.31,67105,0,medium
68.41,67209,0,medium
68.54,67333,0,medium
68.64,67437,0,medium
68.75,67541,0,medium
68.85,67645,0,medium
68.95,67750,0,medium
69.06,67857,0,medium
69.17,67961,0,medium
69.27,68066,0,medium
69.38,68173,0,medium
69.48,68277,0,medium
69.59,68381,0,medium
69.69,68485,0,medium
69.82,68614,0,medium
69.93,68721,0,medium
70.03,68825,0,medium
70.13,68929,0,medium
70.24,69033,0,medium
70.34,69137,0,medium
70.45,69241,0,medium
70.55,69345,0,medium
70.65,69449,0,medium
70.76,69553,0,medium
70.86,69657,0,medium
70.97,69761,15,medium
71.09,69889,43,medium
71.20,69993,19,medium
71.30,70097,28,medium
71.41,70201,52,medium
71.51,70309,46,medium
71.62,70413,0,medium
71.72,70517,0,medium
71.83,70622,0,medium
71.93,70729,0,medium
72.04,70833,0,medium
72.14,70937,0,medium
72.25,71041,0,medium
72.37,71169,0,medium
72.48,71273,0,medium
72.58,71377,0,medium
72.69,71481,0,medium
72.79,71586,0,medium
72.90,71693,0,medium
73.00,71797,0,medium
73.11,71901,0,medium
73.21,72006,0,medium
73.32,72113,0,medium
73.42,72217,0,medium
73.53,72321,0,medium
73.65,72449,0,medium
73.76,72554,0,medium
73.87,72661,55,medium
73.97,72765,67,medium
74.07,72869,61,medium
74.18,72973,88,medium
74.28,73077,26,medium
74.39,73182,0,medium
74.49,73289,35,medium
74.60,73393,43,medium
74.70,73497,71,medium
74.81,73601,42,medium
74.93,73729,80,medium
75.04,73833,78,medium
75.14,73937,72,medium
75.25,74041,63,medium
75.35,74145,76,medium
75.45,74249,1,medium
75.56,74353,35,medium
75.66,74457,44,medium
75.77,74562,0,medium
75.87,74669,9,medium
75.98,74773,0,medium
76.08,74877,37,medium
76.21,75001,78,medium
76.31,75105,0,medium
76.41,75209,0,medium
76.52,75313,0,medium
76.62,75417,0,medium
76.73,75521,13,medium
76.83,75625,0,medium
76.93,75729,0,medium
77.04,75833,0,medium
77.14,75937,0,medium
77.25,76041,0,medium
77.35,76145,0,medium
77.47,76269,0,medium
77.58,76373,0,medium
77.68,76477,0,medium
77.79,76581,0,medium
77.89,76686,0,medium
78.00,76793,0,medium
78.10,76897,0,medium
78.21,77001,11,medium
78.31,77105,0,medium
78.42,77213,0,medium
78.52,77317,4,medium
78.63,77421,0,medium
78.75,77549,9,medium
78.86,77653,0,medium
78.97,77762,1,medium
79.07,77869,0,medium
79.18,77973,0,medium
79.28,78077,0,medium
79.39,78181,0,medium
79.49,78285,0,medium
79.59,78390,0,medium
79.70,78497,0,medium
79.81,78602,0,medium
79.91,78709,17,medium
80.04,78837,11,medium
80.15,78941,47,medium
80.25,79045,28,medium
80.35,79149,39,medium
80.46,79253,37,medium
80.56,79357,33,medium
80.67,79461,0,medium
80.77,79566,4,medium
80.88,79673,26,medium
80.98,79777,0,medium
81.09,79881,0,medium
81.19,79985,0,medium
81.42,80213,0,medium
81.52,80317,0,medium
81.63,80422,0,medium
81.73,80529,0,medium
81.84,80634,0,medium
81.95,80741,0,medium
82.05,80845,0,medium
82.15,80949,0,medium
82.26,81053,0,medium
82.36,81157,0,medium
82.47,81266,0,medium
82.58,81373,0,medium
82.71,81501,7,medium
82.81,81605,11,medium
82.92,81714,0,medium
83.03,81821,0,medium
83.13,81925,36,medium
83.23,82029,35,medium
83.34,82133,0,medium
83.44,82237,0,medium
83.55,82346,26,medium
83.66,82453,0,medium
83.76,82557,15,medium
83.87,82661,0,medium
83.99,82790,0,medium
84.10,82897,0,medium
84.21,83001,0,medium
84.31,83106,0,medium
84.42,83213,11,medium
84.52,83317,29,medium
84.63,83425,46,medium
84.73,83529,0,medium
84.84,83633,0,medium
84.94,83737,0,medium
85.05,83841,0,medium
85.15,83946,0,medium
85.28,84074,7,medium
85.39,84181,7,medium
85.49,84285,0,medium
85.59,84389,32,medium
85.70,84494,0,medium
85.81,84601,0,medium
85.91,84705,7,medium
86.01,84809,31,medium
86.12,84913,0,medium
86.22,85017,0,medium
86.33,85123,0,medium
86.43,85229,0,medium
86.55,85341,17,medium
86.66,85457,0,medium
86.77,85561,0,medium
86.87,85670,0,medium
86.98,85777,0,medium
87.09,85881,0,medium
87.19,85986,0,medium
87.30,86093,0,medium
87.40,86197,19,medium
87.51,86301,0,medium
87.61,86405,0,medium
87.71,86509,0,medium
87.82,86613,70,medium
87.94,86738,158,medium
88.05,86845,141,medium
88.15,86949,163,medium
88.26,87053,178,medium
88.36,87157,160,medium
88.47,87261,137,medium
88.57,87366,149,medium
88.68,87473,99,medium
88.78,87577,119,medium
88.89,87681,78,medium
88.99,87785,35,medium
89.11,87910,70,medium
89.22,88017,24,medium
89.33,88121,117,medium
89.43,88225,123,medium
89.53,88329,45,medium
89.64,88433,145,medium
89.74,88537,105,medium
89.85,88641,50,medium
89.95,88745,0,medium
90.05,88849,0,medium
90.16,88953,0,medium
90.29,89082,59,medium
90.39,89190,82,medium
90.50,89297,81,medium
90.61,89401,99,medium
90.71,89505,95,medium
90.81,89610,26,medium
90.92,89717,0,medium
91.03,89821,0,medium
91.13,89926,0,medium
91.24,90033,53,medium
91.34,90137,61,medium
91.45,90242,70,medium
91.57,90369,56,medium
91.68,90473,48,medium
91.78,90577,37,medium
91.89,90681,13,medium
91.99,90786,0,medium
92.10,90893,0,medium
92.20,90997,0,medium
92.31,91101,0,medium
92.41,91205,0,medium
92.52,91313,0,medium
92.62,91417,0,medium
92.73,91521,0,medium
92.85,91649,0,medium
92.96,91753,0,medium
93.06,91857,0,medium
93.17,91961,0,medium
93.27,92065,0,medium
93.37,92169,0,medium
93.48,92273,0,medium
93.58,92377,0,medium
93.69,92481,0,medium
93.79,92585,0,medium
93.89,92689,0,medium
94.00,92793,0,medium
94.13,92921,0,medium
94.23,93026,0,medium
94.34,93133,0,medium
94.44,93237,67,medium
94.55,93341,88,medium
94.65,93445,70,medium
94.75,93549,0,medium
94.86,93653,65,medium
94.96,93757,66,medium
95.07,93861,46,medium
95.17,93965,0,medium
95.27,94069,9,medium
95.40,94197,48,medium
95.51,94301,42,medium
95.61,94405,0,medium
95.71,94509,31,medium
95.82,94613,0,medium
95.92,94717,0,medium
96.03,94823,0,medium
96.13,94929,0,medium
96.24,95033,0,medium
96.34,95137,0,medium
96.45,95241,0,medium
96.55,95345,0,medium
96.68,95473,0,medium
96.78,95577,0,medium
96.89,95681,0,medium
96.99,95785,0,medium
97.09,95889,0,medium
97.20,95993,0,medium
97.30,96097,0,medium
97.41,96201,0,medium
97.51,96305,0,medium
97.61,96409,0,medium
97.72,96513,0,medium
97.82,96618,0,medium
97.93,96727,0,medium
98.06,96853,0,medium
98.16,96957,0,medium
98.27,97062,0,medium
98.37,97169,0,medium
98.48,97273,0,medium
98.58,97377,0,medium
98.69,97481,51,medium
98.79,97585,125,medium
98.89,97689,70,medium
99.00,97794,65,medium
99.11,97901,49,medium
99.23,98029,107,medium
99.34,98133,108,medium
99.44,98238,31,medium
99.55,98345,73,medium
99.65,98449,23,medium
99.76,98553,0,medium
99.86,98658,0,medium
99.97,98766,0,medium
100.08,98873,1,medium
100.18,98977,0,medium
100.29,99081,0,medium
